name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Awaze Ethiopian Cuisine,"New York, NY",Harlem,Manhattan,Restaurants,Ethiopian,Enjoy $26 meal deals at this Ethiopian restaurant in Harlem throughout World Cup 2026.,$26 Offers,,https://www.awaze.nyc,https://www.nyctourism.com/offers/fbws-awaze-ethiopian-cuisine,,fbws
Corner Social,,Harlem,Manhattan,Restaurant,,,,,,,https://watchworldcup.nyc/venues/corner-social,wwc
Dear Mama - Manhattanville,"611 W. 129th St., New York, NY 10027",Harlem,Manhattan,Restaurants,Eclectic,Enjoy $26 prix fixe menus at this cafe throughout World Cup 2026.,$26 Offers,,https://www.dearmamacoffee.com,https://www.nyctourism.com/offers/fbws-dear-mama,,fbws
Harlem Shake - Harlem,"100 W. 124th St., Manhattan, NY, 10027",Harlem,Manhattan,Restaurants,Burgers; American (Traditional),"Choose from two tasty burger combos, including a beer or frozen wine beverage, for $26.",Limited Edition Cup; $26 Offers,,https://harlemshake.com/harlem-shake-124th-street,https://www.nyctourism.com/offers/fbws-harlem-shake-harlem,,fbws
Harlem Tavern,,Harlem,Manhattan,Bar,,,,United States; England; Ghana,,,https://watchworldcup.nyc/venues/harlem-tavern,wwc
HRT,"New York, NY",Harlem,Manhattan,Restaurants,American (Traditional),Pay a visit to the Great Harlem Chamber of Commerce during the World Cup and receive a free limited edition commemorative cup!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-greater-harlem-chamber-of-commerce,,fbws
Le Petit Senegal (116th St corridor),,Harlem,Manhattan,Public Viewing,,,,Senegal; Cote d'Ivoire,,,https://watchworldcup.nyc/venues/le-petit-senegal-116th-st-corridor,wwc
Lido,"2168 Frederick Douglass Blvd., Manhattan, NY, 10026",Harlem,Manhattan,Restaurants,Italian,"Enjoy a bottle of Lido's house red or white wine, or a carafe of their bianco or rosé sangria, for $26.",Limited Edition Cup,,https://lidoharlem.com,https://www.nyctourism.com/offers/fbws-lido,,fbws
Lucille’s,"New York, NY",Harlem,Manhattan,Restaurants,Italian,Enjoy special $26 meal deals at this Harlem restaurant and bar throughout World Cup 2026.,$26 Offers,,https://www.lucillesharlem.com,https://www.nyctourism.com/offers/fbws-lucilles,,fbws
Melba’s,"300 W. 114th St., Manhattan, NY, 10026",Harlem,Manhattan,Restaurants,Soul Food / Southern,Order from Melba's At Home Catering for your watch parties and receive limited-edition World Cup commemorative cups!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-melbas,,fbws
Native Harlem,"New York, NY",Harlem,Manhattan,Restaurants,African,Enjoy a delicious order of jollof rice with chicken and receive a limited edition cup for just $26!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-native-harlem,,fbws
Pikine Restaurant,,Harlem,Manhattan,Restaurant,,,,Senegal,,,https://watchworldcup.nyc/venues/pikine-restaurant,wwc
Ponty Bistro Harlem,,Harlem,Manhattan,Restaurant,,,,Senegal; France,,,https://watchworldcup.nyc/venues/ponty-bistro-harlem,wwc
Red Rooster Harlem,"310 Lenox Ave., Manhattan, NY, 10027",Harlem,Manhattan,Restaurants,American (New),"During World Cup 2026, enjoy the $26 prix fixe—your choice of a signature cocktail or glass of wine, plus Uptown Guac appetizer  and a limited-edition commemorative cup.",Limited Edition Cup; $26 Offers,,https://www.redroosterharlem.com,https://www.nyctourism.com/offers/fbws-red-rooster-harlem,,fbws
Renaissance New York Harlem Hotel,"233 W. 125th St., Manhattan, NY, 10027",Harlem,Manhattan,Restaurants,Soul Food / Southern,Enjoy a free commemorative cup at this Harlem restaurant during World Cup 2026 games.,Limited Edition Cup,,https://www.victoriatheaternyc.com,https://www.nyctourism.com/offers/fbws-the-victoria-restaurant,,fbws
Renaissance New York Harlem Hotel,"233 W. 125th St., Manhattan, NY, 10027",Harlem,Manhattan,Restaurants,Soul Food / Southern,Celebrate the World Cup at this Harlem hotel by receiving a free commemorative cup with eligible purchases.,Limited Edition Cup,,https://www.marriott.com/en-us/hotels/nychl-renaissance-new-york-harlem-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://www.nyctourism.com/offers/fbws-renaissance-harlem-new-york,,fbws
Safari,"55 St. Nicholas Ave., Manhattan, NY, 10026",Harlem,Manhattan,Restaurants,African,Snag meal deals and limited-edition cups during World Cup 2026 at this Somali restaurant.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-safari-restaurant,,fbws
Sylvia's Restaurant,"New York, NY",Harlem,Manhattan,Restaurants,Soul Food / Southern,Enjoy a Sylvia's Happy Meal including a chicken Sandwich w/fries & Budweiser or Sugar Hill or Uptown for just $26!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-sylvias-restaurant,,fbws
The Fox,"2224 Frederick Douglass Blvd., New York, NY, 10026",Harlem,Manhattan,Restaurants,Gastropub,Get a meal deal for $26 and receive a limited-edition commemorative souvenir cup at this Harlem bar.,Limited Edition Cup; $26 Offers,,https://thefoxharlem.com,https://www.nyctourism.com/offers/fbws-the-fox,,fbws
Winnie Said,"New York, NY",Harlem,Manhattan,Restaurants,American (New),Enjoy our Winnie Smash burger with fries and your choice of one signature cocktail or 2 beers.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-winnie-said,,fbws
Churrascaria Plataforma,,Hell's Kitchen,Manhattan,Restaurant,,,,Brazil,,,https://watchworldcup.nyc/venues/churrascaria-plataforma,wwc
Clinton Hall 51st Street,,Hell's Kitchen,Manhattan,Beer Garden,,,,,,,https://watchworldcup.nyc/venues/clinton-hall-51st-street,wwc
Dalton's Bar & Grill,,Hell's Kitchen,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/daltons-bar-and-grill,wwc
Fanatics Fest NYC x FIFA,,Hell's Kitchen,Manhattan,Public Viewing,,,,,,,https://watchworldcup.nyc/venues/fanatics-fest-fifa,wwc
Hibernia Bar,,Hell's Kitchen,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/hibernia-bar,wwc
Mr. Biggs,,Hell's Kitchen,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/mr-biggs,wwc
Rice N Beans,,Hell's Kitchen,Manhattan,Restaurant,,,,Brazil,,,https://watchworldcup.nyc/venues/rice-n-beans,wwc
Tagine Dining Gallery,,Hell's Kitchen,Manhattan,Restaurant,,,,Morocco,,,https://watchworldcup.nyc/venues/tagine-dining-gallery,wwc
The Gaf West,,Hell's Kitchen,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/the-gaf-west,wwc
Bird & Branch,"New York, NY",Hells Kitchen,Manhattan,Restaurants,Coffeehouse,Get a free limited-edition cup with every purchase at this Hell's Kitchen coffeeshop during World Cup 2026.,Limited Edition Cup,,https://birdandbranch.com,https://www.nyctourism.com/offers/fbws-bird-and-branch-hells-kitchen,,fbws
