name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Kettle of Fish,,West Village,Manhattan,Bar,,,,United States,,,https://watchworldcup.nyc/venues/kettle-of-fish,wwc
La Contenta Oeste,"78 W. 11th St., Manhattan, NY, 10011",West Village,Manhattan,Restaurants,Mexican,"Enjoy an order of guacamole, salsas, tortilla chips, a frozen margarita and a limited-edition World Cup collectible cup for only $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-la-contenta-oeste,,fbws
Las Ramblas,,West Village,Manhattan,Restaurant,,,,Spain; Mexico,,,https://watchworldcup.nyc/venues/las-ramblas,wwc
Little Owl,"90 Bedford St., Manhattan, NY, 10014",West Village,Manhattan,Restaurants,Mediterranean,Celebrate the World Cup at Little Owl by receiving a free commemorative cup with eligible purchases.,Limited Edition Cup,,https://www.thelittleowlnyc.com,https://www.nyctourism.com/offers/fbws-little-owl,,fbws
Minetta Tavern,"New York, NY",West Village,Manhattan,Restaurants,French,Celebrate the World Cup with an oysters and champagne deal at this West Village restaurant.,Limited Edition Cup; $26 Offers,,https://www.minettatavernny.com,https://www.nyctourism.com/offers/fbws-minetta-tavern,,fbws
Morandi,"211 Waverly Pl., Manhattan, NY, 10014",West Village,Manhattan,Restaurants,Italian,Celebrate World Cup 2026 at this Italian restaurant with prix-fixe breakfast and lunch menus for $26.,Limited Edition Cup; $26 Offers,,https://www.morandiny.com,https://www.nyctourism.com/offers/fbws-morandi,,fbws
Taco Mahal,"73 Seventh Ave. South, New York, NY, 10014",West Village,Manhattan,Restaurants,Indian,Get  a taco combo and a mango lassi and score a collectible cup while supplies last.,Limited Edition Cup,,https://www.tacomahalnyc.com,https://www.nyctourism.com/offers/fbws-taco-mahal,,fbws
The Beer Garage,"New York, NY",West Village,Manhattan,Nightlife,American (Traditional),Celebrate the World Cup at the Beer Garage by receiving a free commemorative cup with the purchase of any one appetizer.,Limited Edition Cup,,https://www.beergarageny.com,https://www.nyctourism.com/offers/fbws-the-beer-garage,,fbws
The Monster,"80 Grove Street, New York, NY, United States, 10014",West Village,Manhattan,Restaurants,Bars/Cocktails,Enjoy 2 frozen margaritas and a commemorative World Cup cup for $26 while watching on our big screens.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-monster,,fbws
Via 13,"140 W. 13th St., Manhattan, NY, 10011",West Village,Manhattan,Restaurants,Italian,"For $26, enjoy Pizza d’Oro at Via 13, and receive a limited-edition commemorative souvenir cup.",Limited Edition Cup; $26 Offers,,https://www.via13nyc.com,https://www.nyctourism.com/offers/fbws-via-13,,fbws
White Horse Tavern,,West Village,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/white-horse-tavern,wwc
Wogies Bar & Grill - West Village,"New York, NY",West Village,Manhattan,Restaurants,American (New),Get a free souvenir cup with eligible purchases at this West Village bar and restaurant.,Limited Edition Cup,,https://www.wogies.com,https://www.nyctourism.com/offers/fbws-wogies-bar-and-grill-west-village,,fbws
Bitter Monk,"68 34th St., (Building No. 6, 2/F), Industry City, Brooklyn, NY 11232",,Brooklyn,Restaurants,American (New),Enjoy a small dish and glass of house-made liqueur at this Brooklyn cocktail bar for $26 through World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.bittermonk.com,https://www.nyctourism.com/offers/fbws-bitter-monk,,fbws
Charm Bar & Restaurant,"448 Dean St., Brooklyn, NY, 11217",,Brooklyn,Restaurants,Caribbean,Enjoy rasta pasta and a soft drink for $26 and receive a limited-edition commemorative souvenir cup.,Limited Edition Cup,,https://charmbarrestaurant.com,https://www.nyctourism.com/offers/fbws-charm-bar-and-restaurant,,fbws
The Poutine Guy,"195 Centre St., Brooklyn, NY 11231",,Brooklyn,Restaurants,Cajun/Creole,Grab special World Cup meal deals at this poutine food truck outside Other Half Brewing in Brooklyn.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-poutine-guy,,fbws
Tom’s Restaurant,"782 Washington Avenue, Brooklyn, NY, 11238",,Brooklyn,Restaurants,American (Traditional),"Receive a World Cup limited-edition cup with an eligible purchase. Enjoy a burger, fries and a drink for $26 during the World Cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-toms-restaurant,,fbws
Wah Lung Restaurant,"1932 Kings Hwy., Brooklyn, NY 11229",,Brooklyn,Restaurants,Chinese,Get a free souvenir cup with eligible purchases at this Chinese restaurant.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-wah-lung-restaurant,,fbws
YaraNYC,"319 East 53 rd st., Manhattan, NY, 10022",,Brooklyn,Restaurants,Mediterranean,"Enjoy the Yara World Cup Combo: Your choice of sandwich and drink, including a FIFA cocktail, for $26!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-yaranyc,,fbws
Gino's Restaurant & Pizzeria,"7414 5th Ave., Brooklyn, NY, 11209",Bay Ridge,Brooklyn,Restaurants,Italian,"Free limited-edition cup with purchase, dine-in only. June 11–July 19, 2026 and/or while supplies of the Giveaway Cups last.",Limited Edition Cup,,https://www.ginosbayridge.com,https://www.nyctourism.com/offers/fbws-ginos-restaurant-pizzeria,,fbws
Ho’Brah,"8618 3rd Ave, Brooklyn, New York, 11209",Bay Ridge,Brooklyn,Restaurants,Fusion,,Limited Edition Cup,,https://www.hobrahtacos.com/bay-ridge,https://www.nyctourism.com/offers/fbws-hobrah-tacos,,fbws
Kitty Kiernans,,Bay Ridge,Brooklyn,Bar,,,,England; United States,,,https://watchworldcup.nyc/venues/kitty-kiernans,wwc
Lone Star Bar & Grill,,Bay Ridge,Brooklyn,Bar,,,,United States,,,https://watchworldcup.nyc/venues/lone-star-bar-grill,wwc
Tea and Milk,"6756 4th Ave., Brooklyn, NY 11220",Bay Ridge,Brooklyn,Restaurants,,Purchase a food item and two large drinks for $26 and receive a limited-edition commemorative souvenir cup.,Limited Edition Cup; $26 Offers,,https://www.teaandmilk.com,https://www.nyctourism.com/offers/fbws-tea-and-milk-bay-ridge,,fbws
The Eagle Inn,,Bay Ridge,Brooklyn,Bar,,,,England,,,https://watchworldcup.nyc/venues/the-eagle-inn,wwc
The Kettle Black,"415 Forest Ave., Staten Island, NY, 10301",Bay Ridge,Brooklyn,Restaurants,American (Traditional),Stop in for a commemorative cup with an Ice Cold Beer check out our World Cup specials,Limited Edition Cup,,https://www.kettleblackbar.com,https://www.nyctourism.com/offers/fbws-the-kettle-black,,fbws
The Wicked Monk,,Bay Ridge,Brooklyn,Bar,,,,,,,https://watchworldcup.nyc/venues/the-wicked-monk,wwc
IV Purpose,,Bed-Stuy,Brooklyn,Bar,,,,United States,,,https://watchworldcup.nyc/venues/iv-purpose,wwc
Joloff Restaurant,,Bed-Stuy,Brooklyn,Restaurant,,,,Senegal,,,https://watchworldcup.nyc/venues/joloff-restaurant,wwc
Arepas,"542 Nostrand Ave, Brooklyn, New York, 11216",Bedford-Stuyvesant,Brooklyn,Restaurants,Latin American,"World Cup Combo for Two: 4 empanadas, 2 drinks & an official FIFA World Cup 2026 cup for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-arepas-empanadas-latin-food,,fbws
BKB Brooklyn Brasserie,"327 Stuyvesant Ave., Brooklyn, NY 11233",Bedford-Stuyvesant,Brooklyn,Eat & Drink,,Enjoy $26 meal and drink deals at this Franco-Belgian restaurant during World Cup 2026.,$26 Offers,,https://www.bkbnyc.com,https://www.nyctourism.com/offers/fbws-bkb-brooklyn-brasserie,,fbws
Bklyn Blend,"194 Tompkins Ave., Brooklyn, New York, 11206",Bedford-Stuyvesant,Brooklyn,Restaurants,Juice Bar; Sandwiches,"Get 10% off each purchase of a smoothie or juice, and receive a limited-edition souvenir cup.",Limited Edition Cup,,https://bklynblend.com,https://www.nyctourism.com/offers/fbws-bklyn-blend,,fbws
BKLYN Blend - Bedford-Stuyvesant,"194 Tompkins Ave., Brooklyn, NY 11206",Bedford-Stuyvesant,Brooklyn,Restaurants,Juice Bar,Visit this Brooklyn juice bar for $26 drink and meal deals during World Cup 2026.,$26 Offers,,https://bklynblend.com,https://www.nyctourism.com/offers/fbws-bklyn-blend-bedford-stuyvesant,,fbws
Dar525 - Bedford-Stuyvesant,"231 Malcolm X Blvd., Brooklyn, NY 11221",Bedford-Stuyvesant,Brooklyn,Restaurants,,Get a choice of a cold or hot mezze with two Michelob ultra beers for $26.,Limited Edition Cup; $26 Offers,,https://dar525.com,https://www.nyctourism.com/offers/fbws-dar525-bedford-stuyvesant,,fbws
El Burrito Nacho,"1636 Broadway, Brooklyn, NY, 11207",Bedford-Stuyvesant,Brooklyn,Restaurants,Mexican,"Enjoy $26 deals on six tacos and drinks, and receive a limited-edition World Cup commemorative cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-el-burrito-nacho,,fbws
Rustik Tavern,"471 DeKalb Avenue, Brooklyn, New York, 11205",Bedford-Stuyvesant,Brooklyn,Restaurants,Caribbean,"Score big with our World Cup Combo: Shrimp Tostones, a Prestige beer & collectible Brooklyn Cup for just $26!",$26 Offers,,,https://www.nyctourism.com/offers/fbws-rustik-tavern,,fbws
Ursula,"387A Nostrand Ave., Brooklyn, NY 11216",Bedford-Stuyvesant,Brooklyn,Restaurants,,Enjoy $26 burrito and margarita deals at this New Mexican restaurant during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.ursulabk.com,https://www.nyctourism.com/offers/fbws-ursula,,fbws
Wadadli,"419 Putnam Ave., Brooklyn, NY, 11216",Bedford-Stuyvesant,Brooklyn,Restaurants,Caribbean,"Celebrate World Cup with the flavors of the Caribbean, and receive a limited-edition commemorative souvenir cup.",Limited Edition Cup; $26 Offers,,https://wadadlijerk.com,https://www.nyctourism.com/offers/fbws-wadadli,,fbws
Black Forest Brooklyn - Smith Street,"181 Smith Street, Brooklyn, New York, 11201",Boerum Hill,Brooklyn,Restaurants,German,2 Half Liters Bitburger Pilsner + 2 German soft pretzels for $26 ($30 value),Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-black-forest-brooklyn---smith-street,,fbws
Football Factory at Upper 90,,Boerum Hill,Brooklyn,Bar,,,,,,,https://watchworldcup.nyc/venues/football-factory-upper-90,wwc
Lele's Roman,"252 Schermerhorn Street, Brooklyn, NY, 11217",Boerum Hill,Brooklyn,Restaurants,Italian,Get a personal Margherita pizza and a beer or negroni for $26 at this Italian spot.,$26 Offers,,,https://www.nyctourism.com/offers/FBWS-ldv-hospitality,,fbws
Mile End Delicatessen,"97A Hoyt St., New York, NY 11217",Boerum Hill,Brooklyn,Restaurants,Delicatessen,Enjoy a $26 meal deal at this Montréal-style Jewish deli throughout World Cup 2026.,$26 Offers,,https://www.mileenddeli.com,https://www.nyctourism.com/offers/fbws-mile-end-delicatessen,,fbws
Vineapple,"71 Pineapple Street, 84C, New York, NY, 11201",Brooklyn Heights,Brooklyn,Restaurants,Italian,"Enjoy a $26 food and drink special with showings of the World Cup, and grab a souvenir cup with the purchase of a frozen beverage.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-vineapple-restaurant,,fbws
Echo Bravo,"445 Troutman St., Brooklyn, NY 11237",Bushwick,Brooklyn,Restaurants,,Enjoy $26 pitchers of beer and souvenir cups at this sports bar during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.bravobarparty.com,https://www.nyctourism.com/offers/fbws-echo-bravo,,fbws
El Encebollado de Victor,,Bushwick,Brooklyn,Restaurant,,,,Ecuador,,,https://watchworldcup.nyc/venues/el-encebollado-de-victor,wwc
Kings County Brewers Collective,"381 Troutman St., Brooklyn, NY 11237",Bushwick,Brooklyn,Restaurants,Bars/Cocktails,Score a free souvenir cup with eligible purchases at this Bushwick brewery during World Cup 2026.,Limited Edition Cup,United States; Germany,https://kcbcbeer.com,https://www.nyctourism.com/offers/fbws-kings-county-brewers-collective,https://watchworldcup.nyc/venues/kings-county-brewers-collective,fbws+wwc
Pine Box Rock Shop,,Bushwick,Brooklyn,Bar,,,,,,,https://watchworldcup.nyc/venues/pine-box-rock-shop,wwc
Tony’s Pizzeria & Restaurant,"443 Knickerbocker Ave., Brooklyn, NY 11237",Bushwick,Brooklyn,Restaurants,,Enjoy $26 pizza and drink deals through World Cup 2026 at this Bushwick pizzeria.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-tonys-pizzeria-and-restaurant,,fbws
TriniJam BK,"9501 Flatlands Ave., Brooklyn, NY, 11236-3709",Canarsie,Brooklyn,Restaurants,Caribbean,"During the World Cup, TriniJam BK offers a $56 prix-fixe menu with specialty cocktails and food to share with friends, plus a limited-edition souvenir cup.",Limited Edition Cup,,https://www.trinijambk.com,https://www.nyctourism.com/offers/world-cup-cuisine-form-trinijam-bk,,fbws
Bar Bruno,,Carroll Gardens,Brooklyn,Restaurant,,,,,,,https://watchworldcup.nyc/venues/bar-bruno,wwc
MiniBar,"482 Court Street, Brooklyn, NY, 11231",Carroll Gardens,Brooklyn,Restaurants,Bars/Cocktails,Get a bucket of any six bottled beers for $26 during the World Cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-minibar,,fbws
Other Half Brewing,,Carroll Gardens,Brooklyn,Beer Garden,,,,United States; England,,,https://watchworldcup.nyc/venues/other-half-brewing,wwc
Athena Keke's,,Clinton Hill,Brooklyn,Bar,,,,,,,https://watchworldcup.nyc/venues/athena-kekes,wwc
Bati Ethiopian Kitchen,"1057 Fulton St., Brooklyn, NY 11238",Clinton Hill,Brooklyn,Restaurants,African,Enjoy $26 World Cup meal and drink deals at this Ethiopian restaurant in Brooklyn.,Limited Edition Cup; $26 Offers,,https://www.batikitchen.com,https://www.nyctourism.com/offers/fbws-bati-ethiopian-kitchen,,fbws
Buka,,Clinton Hill,Brooklyn,Restaurant,,,,,,,https://watchworldcup.nyc/venues/buka,wwc
Emily,"919 Fulton St., New York, NY, 11238",Clinton Hill,Brooklyn,Restaurants,Pizza,Get your choice of select pizza and beer (or soft drink) for $26 and get a free collectible cup!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-emily,,fbws
Putnam's Pub & Cooker,"419 Myrtle Ave., New York, NY, 11205",Clinton Hill,Brooklyn,Restaurants,Gastropub,We will be showing ALL 104 World Cup matches & offering $26 pitchers of Michelob Ultra during games!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-putnams-pub-cooker,,fbws
Samyan,"848 Fulton Street, Brooklyn, New York, 11238",Clinton Hill,Brooklyn,Restaurants,Thai,"Your choice - get any 2 Signature Wings for $26, OR a free limited-edition cup with an order of Thai Fried Rice and Thai Tea.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-samyan,,fbws
61 Local,,Cobble Hill,Brooklyn,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/61-local,wwc
Bar Tabac,,Cobble Hill,Brooklyn,Restaurant,,,,France,,,https://watchworldcup.nyc/venues/bar-tabac,wwc
Clover Smoothie&Tea,"136 Smith St, Brooklyn, NY, 11201",Cobble Hill,Brooklyn,Restaurants,Juice Bar,Buy any 20oz smoothie and receive a limited-edition NYC World Cup drinking cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-clover-smoothietea,,fbws
El Mate,,Cobble Hill,Brooklyn,Restaurant,,,,Argentina; Brazil,,,https://watchworldcup.nyc/venues/el-mate,wwc
Henry Public,,Cobble Hill,Brooklyn,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/henry-public,wwc
Ruta Oaxaca - Cobble Hill,"138 Smith St., Brooklyn, NY 11201",Cobble Hill,Brooklyn,Restaurants,Mexican,This Mexican restaurant is offering $26 meal deals for World Cup 2026.,Limited Edition Cup; $26 Offers,,https://rutaoaxacamex.com,https://www.nyctourism.com/offers/fbws-ruta-oaxaca-cobble-hill,,fbws
Alma,"187 Columbia St., Brooklyn, NY 11231",Columbia Street Waterfront District,Brooklyn,Restaurants,Mexican,Celebrate World Cup 2026 with $26 margarita and meal deals at this Mexican restaurant.,$26 Offers,,https://www.almabk.com,https://www.nyctourism.com/offers/fbws-alma-brooklyn,,fbws
Deno's Wonder Wheel Amusement Park,"3059 Denos Vourderis Place (W 12th St), New York, NY, 11224",Coney Island,Brooklyn,Restaurants,Pizza,Enjoy a cold drink in a World Cup souvenir cup at the Famous Famiglia Pizzeria on weekends.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-denos-wonder-wheel-park,,fbws
Ruby’s Bar & Grill,"1213 Riegelmann Boardwalk, Brooklyn, NY 11224",Coney Island,Brooklyn,Restaurants,Gastropub,Receive a World Cup commemorative cup with the purchase of a large beer at Ruby's.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-rubys-bar-and-grill,,fbws
Cafe Rue Dix,,Crown Heights,Brooklyn,Restaurant,,,,Senegal; France,,,https://watchworldcup.nyc/venues/caf-rue-dix,wwc
Crown Hill Theatre,"746-750 Nostrand Ave., Brooklyn, NY 11216",Crown Heights,Brooklyn,Restaurants,Caribbean,"During the World Cup, Crown Hill Theatre is offering an admission and drink package for $26.",Limited Edition Cup; $26 Offers,,https://crownhilltheatre.com,https://www.nyctourism.com/offers/fbws-crown-hill-theatre,,fbws
Franklin Park,"618 St Johns Pl., Brooklyn, New York 11238",Crown Heights,Brooklyn,Restaurants,American (Traditional),This Brooklyn bar is offering free limited-edition cups with eligible purchases during the World Cup.,Limited Edition Cup,,https://www.franklinparkbk.com,https://www.nyctourism.com/offers/fbws-franklin-park,https://watchworldcup.nyc/venues/franklin-park,fbws+wwc
Gueros,"605 Prospect Place, Brooklyn, NY, 11215",Crown Heights,Brooklyn,Restaurants,Mexican,Enjoy our World Cup $26 Prix Fixe: any drinks and your choice of 4 Tacos plus Limited-Edition souvenir Brooklyn Cup!,Limited Edition Cup; $26 Offers,,https://guerosbrooklyn.com,https://www.nyctourism.com/offers/fbws-gueros-brooklyn,,fbws
Meat NY,"123 Kingston Ave., Brooklyn, NY, 11213",Crown Heights,Brooklyn,Restaurants,Italian; Steakhouse; Burgers,Celebrate the World Cup with a $26 burger combo at this Brooklyn steakhouse and receive a commemorative cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-meat-ny,,fbws
The Crabby Shack,"613 Franklin Avenue, Brooklyn, NY, 11238",Crown Heights,Brooklyn,Restaurants,Seafood,Enjoy one of our delicious bowls with a drink served in a limited-edition World Cup souvenir Cup!,Limited Edition Cup; $26 Offers,,https://www.thecrabbyshack.com,https://www.nyctourism.com/offers/fbws-the-crabby-shack,,fbws
The Crown Inn,"724 Franklin Ave., Brooklyn, NY 11238",Crown Heights,Brooklyn,Restaurants,American (New),Score food and drink deals at this local pub in Crown Heights during World Cup 2026.,Limited Edition Cup; $26 Offers,United States; England,,https://www.nyctourism.com/offers/fbws-the-crown-inn,https://watchworldcup.nyc/venues/the-crown-inn,fbws+wwc
Scorch Entertainment LLC,"3148 Fulton Street, Brooklyn, New York, 11208",Cypress Hills,Brooklyn,Restaurants,Caribbean,"For $26, enjoy any Scorch Cocktail and Scorch Signature Wings tossed in BBQ, sweet chili or buffalo sauce.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-scorch-entertainment-llc,,fbws
Highbury Pub,,Ditmas Park,Brooklyn,Bar,,,,England,,,https://watchworldcup.nyc/venues/highbury-pub,wwc
La Puerta Roja,"1120 cortelyou road, Brooklyn, Ny, 11218",Ditmas Park,Brooklyn,Restaurants,Latin American,"Tacos in one hand, drink in the other—catch every World Cup moment with us!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-la-puerta-roja,,fbws
The Ox Tavern at westwood,"1715 Foster Avenue, NY, NYC, 11230",Ditmas Park,Brooklyn,Restaurants,American (Traditional),"Join us for a World Cup match! Order a limited-time special of one burger, a beer and a shot for just $26 and receive a limited-edition commemorative cup!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-ox-tavern-at-westwood,,fbws
Carne By Allora,"140 Schermerhorn St., Brooklyn, 11201",Downtown Brooklyn,Brooklyn,Restaurants,Italian,Get $26 deals throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-carne-by-allora,,fbws
DeKalb Market Hall,"445 Albee Square West, Lower Level, New York, New York, 11222",Downtown Brooklyn,Brooklyn,Restaurants,,Catch the match and grab a World Cup 2026 souvenir cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-dekalb-market-hall,,fbws
EastVille Comedy Club,"487 Atlantic Ave., New York, NY, 11217",Downtown Brooklyn,Brooklyn,Restaurants,Mexican,Get a free beer when you wear your favorite team's jersey.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-eastville-comedy-club,,fbws
Hilton Brooklyn New York,"140 Schermerhorn St., Brooklyn, NY, 11201",Downtown Brooklyn,Brooklyn,Restaurants,Italian,Enjoy a variety of specials during World Cup 2026.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-hilton-brooklyn-new-york,,fbws
New York Marriott at the Brooklyn Bridge,"333 Adams St., New York, NY, 11201",Downtown Brooklyn,Brooklyn,Restaurants,American (New),"Enjoy 3 Sliders, fries, and a draft beer of your choice for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-new-york-marriott-at-the-brooklyn-bridge--the-great-room-restaurant-bar,,fbws
The Tillary Hotel Brooklyn,"Location The Tillary Hotel Brooklyn  85 Flatbush Ave. Ext., New York, NY, 11201  Get Directions",Downtown Brooklyn,Brooklyn,Restaurants,American (Traditional),Enjoy a variety of specials during the World Cup matches.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-tillary-hotel-brooklyn,,fbws
Beat The Bomb,"255 Water St., Brooklyn, NY, 11201",Dumbo,Brooklyn,Attractions & Tours,Bars/Cocktails,Receive a limited-edition commemorative souvenir cup with all VIP Package tickets while supplies last.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-beat-the-bomb,,fbws
Ivy Stark Mexology - Time Out Market New York,"Empire Stores, 55 Water St.,Brooklyn,11201,NY",Dumbo,Brooklyn,Restaurants,Mexican,Receive a limited-edition commemorative souvenir cup with the purchase of an entree and beverage.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-mexology,,fbws
Museum of Food and Drink,"55 Water St., Brooklyn, NY, 11201",Dumbo,Brooklyn,Museums & Galleries,American (New),A $26 ticket includes a special drink at MOFAD's programs on international food/street food.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-museum-of-food-and-drink,,fbws
OddFellows Ice Cream Co. - Dumbo,"44 Water St., B24, Brooklyn, New York, 11201",Dumbo,Brooklyn,Restaurants,Dessert,Enjoy a special edition ice cream sundae that comes in a limited-edition commemorative souvenir cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-oddfellows-ice-cream,,fbws
The Randolph,"82 Prospect St., Brooklyn, NY, 11201",Dumbo,Brooklyn,Restaurants,Gastropub,"For just $26, score the World Cup Combo: 24-ounce collectible cup plus your choice of beer, and a giant Beer Garden Pretzel.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-randolph,,fbws
Brooklyn Fan Zone,,DUMBO,Brooklyn,fan_zone,,,,,,,https://watchworldcup.nyc/venues/brooklyn-fan-zone,wwc
Time Out Market DUMBO,,DUMBO,Brooklyn,Public Viewing,,,,,,,https://watchworldcup.nyc/venues/time-out-market-dumbo,wwc
DriftBK Restaurant & Lounge,"4315 Farragut Road, Brooklyn, New York, 11203",East Flatbush,Brooklyn,Restaurants,Jamaican,"Enjoy Drift BK's $26 World Cup offers featuring wings & beer, burgers and jerk chicken options, and receive a souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-driftbk-restaurant-lounge,,fbws
Lips Cafe,"Location Lips Cafe  1412 Nostrand Ave., Brooklyn, NY 11226  Get Directions",East Flatbush,Brooklyn,Restaurants,Caribbean,Receive a limited-edition commemorative cup with eligible orders throughout the World Cup.,Limited Edition Cup,,https://www.lipscafebk.com,https://www.nyctourism.com/offers/fbws-lips-cafe,,fbws
Brooklyn Blend,"New York, NY",East New York,Brooklyn,Restaurants,Juice Bar,Receive a free limited-edition commemorative souvenir cup with purchase of a smoothie/shake (while supplies last).,Limited Edition Cup,,https://bklynblend.com/locations,https://www.nyctourism.com/offers/fbws-brooklyn-blend,,fbws
Dave & Buster's - Brooklyn,"Gateway Shopping Center, 395 Gateway Dr.,Brooklyn,11239,NY",East New York,Brooklyn,Restaurants,American (Traditional),"$26 COMBO: A Dave’s double cheeseburger, fish & chips, boneless wings, crispy chicken sandwich, classic goldfingers or parmesan garlic chicken caesar salad, plus fountain soda, one collectible cup, and a $10 Power Card for $26/person.",$26 Offers,,,https://www.nyctourism.com/offers/fbws-dave-busters---brooklyn-wc,,fbws
Area 53 NYC - East Williamsburg,"New York, NY",East Williamsburg,Brooklyn,Restaurants,American (Traditional),Enjoy $26 meal deals at this adventure park during World Cup 2026.,$26 Offers,,https://area53nyc.com,https://www.nyctourism.com/offers/fbws-area-53-east-williamsburg,,fbws
El Cortez,,East Williamsburg,Brooklyn,Bar,,,,Mexico,,,https://watchworldcup.nyc/venues/el-cortez,wwc
Jessi's Coffee Shop,"New York, NY",East Williamsburg,Brooklyn,Restaurants,Mexican,Enjoy $26 meal deals and grab a collectible cup in honor of World Cup 2026 at this local Mexican café.,Limited Edition Cup; $26 Offers,,https://www.jessiscoffeeshop.com,https://www.nyctourism.com/offers/fbws-jessis-coffee-shop,,fbws
Michelle’s Cocktail Lounge,"2294 Bedford Ave, Brooklyn, NY, 11226",Flatbush,Brooklyn,Restaurants,Bars/Cocktails,Celebrate Panama World Cup matchdays with 2 bottles of award winning Sista Natural Pepper Sauce.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-michelles-cocktail-lounge,https://watchworldcup.nyc/venues/michelles-cocktail-lounge,fbws+wwc
Rogers Burgers,"New York, NY",Flatbush,Brooklyn,Restaurants,Caribbean,"Enjoy a family friendly World Cup meal featuring 3 beef sliders, crispy fries, and a refreshing soda, the perfect combo for matchday.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-rogers-burgers,,fbws
Abistro (Brooklyn),,Fort Greene,Brooklyn,Restaurant,,,,Senegal,,,https://watchworldcup.nyc/venues/abistro-brooklyn,wwc
Black Forest Brooklyn,,Fort Greene,Brooklyn,Beer Garden,,,,,,,https://watchworldcup.nyc/venues/black-forest-brooklyn,wwc
Chez Oskar,,Fort Greene,Brooklyn,Restaurant,,,,France,,,https://watchworldcup.nyc/venues/chez-oskar,wwc
Colonia Verde,"219 Dekalb Ave., Brooklyn, NY, 11205",Fort Greene,Brooklyn,Restaurants,Latin American,Colonia Verde offers a limited supply of World Cup–themed cocktails during the months of the World Cup.,Limited Edition Cup,,https://www.coloniaverdenyc.com,https://www.nyctourism.com/offers/fbws-colonia-verde,,fbws
Dave & Buster's - Brooklyn Atlantic Station,"625 Atlantic Ave., New York, NY, 11217",Fort Greene,Brooklyn,Restaurants,American (Traditional),"$26 WORLD CUP EAT & PLAY COMBO: entree and drink, collectible cup, and a $10 Power Card for $26 at participating NYC locations.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-dave-busters---brooklyn-atlantic-station,,fbws
DSK,,Fort Greene,Brooklyn,Bar,,,,Germany; United States,,,https://watchworldcup.nyc/venues/dsk,wwc
FancyFree,,Fort Greene,Brooklyn,Bar,,,,England,,,https://watchworldcup.nyc/venues/fancyfree,wwc
